date,shop,name,price,currency,url
2026-09-01,Cyclovia,Cervélo Áspero,4899,EUR,https://www.cycloviastore.com/shop/cervelo-aspero/
2026-09-01,Cyclovia,Cervélo Caledonia 5,7499,EUR,https://www.cycloviastore.com/shop/cervelo-s5-copie/
2026-09-01,Cyclovia,Cervélo S5,9999,EUR,https://www.cycloviastore.com/shop/colnago-v4rs-copie/
2026-09-01,Cyclovia,Colnago C68 Road,10200,EUR,https://www.cycloviastore.com/shop/colnagoc68road/
2026-09-01,Cyclovia,Colnago G4-X,4330,EUR,https://www.cycloviastore.com/shop/colnago-g4x/
2026-09-01,Cyclovia,Colnago V4,5200,EUR,https://www.cycloviastore.com/shop/colnago-v4/
2026-09-01,Cyclovia,Colnago V4Rs,9090,EUR,https://www.cycloviastore.com/shop/colnago-c68-road-copie/
2026-09-01,Cyclovia,Colnago Y1Rs,16200,EUR,https://www.cycloviastore.com/shop/colnago-y1rs/
2026-09-01,Cyclovia,Wilier Adlar,3500,EUR,https://www.cycloviastore.com/shop/wilier-adlar/
2026-09-01,Cyclovia,Wilier Filante SLR,9360,EUR,https://www.cycloviastore.com/shop/wilier-0sl-copie/
2026-09-01,Cyclovia,Wilier Garda,2600,EUR,https://www.cycloviastore.com/shop/wilier-garda/
2026-09-01,Cyclovia,Wilier Granturismo SLR,8160,EUR,https://www.cycloviastore.com/shop/wilier-granturismo-slr/
2026-09-01,Bikester,Nuroad C:62 ONE (2027) | Gravelbike,1999,EUR,https://www.bikester.be/products/cube-nuroad-c62-one-carbon-n-shiftverde
2026-09-01,Bikester,Nuroad C:62 ONE (2027) | Gravelbike,1999,EUR,https://www.bikester.be/products/cube-nuroad-c62-one-hintofmint-n-green
2026-09-01,Bikester,Nuroad C:62 Pro FE (2027) | Gravelbike,2599,EUR,https://www.bikester.be/products/cube-nuroad-c62-pro-fe-cedern-stone
2026-09-01,Bikester,Nuroad C:62 EX (2027) | Gravelbike,2999,EUR,https://www.bikester.be/products/cube-nuroad-c62-ex-surfblue-n-black
2026-09-01,Bikester,Acid 240 FE (2027)  | 24 inch jeugd-/kinder-MTB,429,EUR,https://www.bikester.be/products/cube-acid-240-fe-lightolive-n-orange
2026-09-01,Bikester,"Stereo Hybrid ONE44 HPC SLX 800 (2027)  | 27,5/29 inch E-MTB Fully",4999,EUR,https://www.bikester.be/products/cube-stereo-hybrid-one44-hpc-slx-800-blackline
2026-09-01,Bikester,Aim SLX (2027)  | 29 inch MTB Hardtail,699,EUR,https://www.bikester.be/products/cube-aim-slx-slateblack-n-chrome
2026-09-01,Bikester,"Stereo Hybrid ONE44 Pro 800 FE (2027)  | 27,5/29 inch E-MTB Fully",4099,EUR,https://www.bikester.be/products/cube-stereo-hybrid-one44-pro-800-fe-coal-n-black
2026-09-01,Bikester,Agree C:62 ONE (2026) | Racefiets,2699,EUR,https://www.bikester.be/products/cube-agree-c62-one-storm-n-grey
2026-09-01,Bikester,Nature EXC Allroad (2026) | Trekkingfiets,1099,EUR,https://www.bikester.be/products/cube-nature-exc-allroad-seasalt-n-pyrite-2025
2026-09-01,Bikester,Touring Hybrid ONE 600 (2026) | Trekking E-bike,2399,EUR,https://www.bikester.be/products/cube-touring-hybrid-one-600-coal-n-chrome
2026-09-01,Bikester,Litening AERO C:68X Race (2026) | Aero racefiets,4849,EUR,https://www.bikester.be/products/cube-litening-aero-c68x-race-blackline
2026-09-01,Bikester,Cross Race C:62 Pro (2026) | Cyclocrossfiets,2299,EUR,https://www.bikester.be/products/cube-cross-race-c-62-pro-carbon-n-orange-2025
2026-09-01,Bikester,Kathmandu Hybrid SLT 800 (2026) | Trekking E-bike,4899,EUR,https://www.bikester.be/products/cube-kathmandu-hybrid-slt-800-duskwood-n-goblin
2026-09-01,Bikester,Supreme Hybrid Pro 625 Easy Entry (2026) | Stad E-Bike,2699,EUR,https://www.bikester.be/products/cube-supreme-hybrid-pro-625-easy-entry-electricblue-n-blue-2025
2026-09-01,Bikester,Nuroad C:62 ONE (2027) | Gravelbike,1999,EUR,https://www.bikester.be/products/cube-nuroad-c62-one-carbon-n-shiftverde
2026-09-01,Bikester,Nuroad C:62 ONE (2027) | Gravelbike,1999,EUR,https://www.bikester.be/products/cube-nuroad-c62-one-hintofmint-n-green
2026-09-01,Bikester,Gravix Pro 1 (2027) | Gravelbike,1099,EUR,https://www.bikester.be/products/serious-bikes-gravix-pro-1-schwarz-matt
2026-09-01,Bikester,Gravix TWO (2026) | Gravelbike,869,EUR,https://www.bikester.be/products/serious-gravix-two-black-shiny-2025
